@High to low,@Low to High,@Sort_Button,Company,Display,Fingerprint Sensor,Gaming,GC_Null,Gen_Text,Generation,Graphics,Graphics Card,Graphics Company,Link,Model No,Num Keypad,OS,Processor,Processor Brand,RAM,Screen Size,SSD,Thumbnail,Title,Touch Screen,Warranty,Weight,Weight (group),1,@Button,@KW_Filter,@Price Sorting,Price,Sr. No
High to Low,Low to High,FALSE,Lenovo,WUXGA IPS Anti-glare Display,Yes,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-thinkpad-e14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-tp-gen-thin-light-laptop/p/itmbbd4542d7f75b?pid=COMGQRD7RWHUM9QH&lid=LSTCOMGQRD7RWHUM9QHQAU0RT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_56&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGQRD7RWHUM9QH.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,TP E14 Gen 5,No,Windows 11,AMD Ryzen 5 Hexa Core,AMD,8 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/v/d/tp-e14-gen-5-thin-and-light-laptop-lenovo-original-imags8wwkum3gzbz.jpeg?q=70,Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U,No,1 Year Onsite Warranty,1.41 Kg,1.21 KG TO 1.50 KG,1,1,1,-69345,69345,79
High to Low,Low to High,FALSE,Lenovo,"Full HD, IPS, 250nits, Anti-glare, 45% NTSC, 120Hz, FreeSync",Yes,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/lenovo-ideapad-gaming-3-amd-ryzen-5-hexa-core-6600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15arh7d4-laptop/p/itme9df44c3dec9f?pid=COMGSVFE3HZQDWEB&lid=LSTCOMGSVFE3HZQDWEB83IVO6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_57&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGSVFE3HZQDWEB.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,15ARH7D4,Yes,Windows 11,AMD Ryzen 5 Hexa Core,AMD,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/3/z/-original-imagzzedmr89chhc.jpeg?q=70,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 6600H,No,1 Year Onsite Warranty,2.32 kg,2.11 KG & Above,1,1,1,-67990,67990,80
High to Low,Low to High,FALSE,Lenovo,"Full HD IPS 300nits Anti-glare, 45% NTSC, 144Hz",No,Yes,4 GB,,,NVIDIA GeForce RTX 2050,4 GB,NVIDIA,https://www.flipkart.com/lenovo-ideapad-gaming-3-amd-ryzen-5-quad-core-5500h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15ach6-laptop/p/itm2a46b1c472cac?pid=COMGSYYS4NDGGPPA&lid=LSTCOMGSYYS4NDGGPPAIBOPWE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_58&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGSYYS4NDGGPPA.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,15ACH6,Yes,Windows 11,AMD Ryzen 5 Quad Core,AMD,8 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/6/a/-original-imagzze7arpagqaz.jpeg?q=70,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H,No,1 Year Carry-in Warranty,2.25 Kg,2.11 KG & Above,1,1,1,-49990,49990,81
High to Low,Low to High,FALSE,Lenovo,"Full HD, IPS 300nits Anti-glare",No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-ideapad-slim-3-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm79cd6c84ebdb4?pid=COMGQRD7EGPUUGGH&lid=LSTCOMGQRD7EGPUUGGHL1L521&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_59&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGQRD7EGPUUGGH.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,15ALC6,Yes,Windows 11,AMD Ryzen 7 Octa Core,AMD,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/z/h/-original-imaguyhzpne7epz2.jpeg?q=70,Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 5700U,No,1 Year Onsite Warranty + 1 Year ADP,1.65 Kg,1.51 KG TO 1.80 KG ,1,1,1,-48990,48990,82
High to Low,Low to High,FALSE,Lenovo,Full HD,No,No,N/A,,,AMD Radeon AMD,,AMD,https://www.flipkart.com/lenovo-thinkbook-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-tb-15-thin-light-laptop/p/itmfc050353680f3?pid=COMGT2XH2RMZDCJW&lid=LSTCOMGT2XH2RMZDCJWV8RWFV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_60&otracker=search&otracker1=search&fm=Search&iid=fc2a0f51-fdbf-4473-bf23-eaa3f96a5b17.COMGT2XH2RMZDCJW.SEARCH&ppt=sp&ppn=sp&ssid=cx7p44e5rk0000001713361116692&qH=c06ea84a1e3dc3c6,TB 15,Yes,Windows 11,AMD Ryzen 7 Octa Core,AMD,16 GB,16 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/laptop-display/u/h/6/32-98765-sri-vasavi-it-solutions-original-imagr8zcugyfrp6c.jpeg?q=70,Lenovo THINKBOOK AMD Ryzen 7 Octa Core 7730U,No,1 Year Onsite Warranty,1.6 Kg,1.51 KG TO 1.80 KG ,1,1,1,-48490,48490,83
High to Low,Low to High,FALSE,Infinix,Full HD,Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated 96EU Iris Xe,,Intel,https://www.flipkart.com/infinix-zerobook-13-intel-core-i9-13th-gen-13900h-32-gb-1-tb-ssd-windows-11-home-zl513-thin-light-laptop/p/itm53866eeb21b65?pid=COMGRFPGYCKFSGZG&lid=LSTCOMGRFPGYCKFSGZGMBU4DX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGRFPGYCKFSGZG.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ZL513,Yes,Windows 11 Home,Intel Core i9,Intel,32 GB,15.6 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/d/i/zl12-business-laptop-infinix-original-imagm83gc6xr8sau.jpeg?q=70,Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H,No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-74990,74990,84
High to Low,Low to High,FALSE,Infinix,Full HD IPS,Yes,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-zero-book-ultra-series-laptop-intel-core-i9-12th-gen-12900h-16-gb-512-gb-ssd-windows-11-home-zl12-business/p/itm5e3c5bd148faa?pid=COMGMFK7B6FTNA4X&lid=LSTCOMGMFK7B6FTNA4XRZ631X&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGMFK7B6FTNA4X.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ZL12,Yes,Windows 11 Home,Intel Core i9,Intel,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/d/i/zl12-business-laptop-infinix-original-imagm83gc6xr8sau.jpeg?q=70,Infinix ZERO BOOK ULTRA Series Laptop Intel Intel Core i9 12th Gen 12900H,No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-75990,75990,85
High to Low,Low to High,FALSE,MSI,FHD+ IPS-Level,No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/msi-modern-14-h-intel-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-d13mg-071in-thin-light-laptop/p/itm737774c12736c?pid=COMGXMY5GGGZYGGB&lid=LSTCOMGXMY5GGGZYGGBTEMLGI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGXMY5GGGZYGGB.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,D13MG-071IN,No,Windows 11 Home,Intel Core i9,Intel,16 GB,14 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/u/p/-original-imagyj9jhxeeum3w.jpeg?q=70,MSI Modern 14 H Intel Core i9 13th Gen 13900H,No,1 Year Carry-in Warranty,1.6 Kg,1.51 KG TO 1.80 KG ,1,1,1,-78990,78990,86
High to Low,Low to High,FALSE,Infinix,Full HD IPS,Yes,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-zero-book-ultra-series-laptop-intel-core-i9-12th-gen-12900h-32-gb-1-tb-ssd-windows-11-home-zl12-business/p/itmbcec8da915ac8?pid=COMGMFK7WH5RZ7YP&lid=LSTCOMGMFK7WH5RZ7YPLIFMYB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGMFK7WH5RZ7YP.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ZL12,Yes,Windows 11 Home,Intel Core i9,Intel,32 GB,15.6 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/d/i/zl12-business-laptop-infinix-original-imagm83gc6xr8sau.jpeg?q=70,Infinix ZERO BOOK ULTRA Series Laptop Intel Intel Core i9 12th Gen 12900H,No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-81978,81978,87
High to Low,Low to High,FALSE,ASUS,"Full HD, OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 600nits, HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/asus-vivobook-s-15-oled-2023-intel-evo-h-series-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-s5504va-ma954ws-thin-light-laptop/p/itmd89b76bbbc37b?pid=COMGZDQJH32JGZWP&lid=LSTCOMGZDQJH32JGZWPTVL3XD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGZDQJH32JGZWP.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,13900H,Yes,Windows 11 Home,Intel Core i9,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/9/q/-original-imagpxgrev7mgg5m.jpeg?q=70,ASUS Vivobook S 15 OLED (2023),No,1 Year Onsite Warranty,1.70 Kg,1.51 KG TO 1.80 KG ,1,1,1,-109900,109900,88
High to Low,Low to High,FALSE,ASUS,"Full HD, OLED 16:9 aspect ratio, 0.2ms response time, 60Hz refresh rate, 600nits, HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/asus-vivobook-s-15-oled-2023-intel-evo-h-series-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-s5504va-ma953ws-thin-light-laptop/p/itm1c8d4b809fe5f?pid=COMGZDQJADMQCDGK&lid=LSTCOMGZDQJADMQCDGK0GDOCV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGZDQJADMQCDGK.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,13900H,Yes,Windows 11 Home,Intel Core i9,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/g/7/-original-imagpxgqc8nggzyr.jpeg?q=70,ASUS Vivobook S 15 OLED (2023),No,1 Year Onsite Warranty,1.70 Kg,1.51 KG TO 1.80 KG ,1,1,1,-119999,119999,89
High to Low,Low to High,FALSE,ASUS,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, vIPS-level Panel, Anti-glare display, 144Hz refresh rate, 250nits Brightness, 100% sRGB color gamut, G-Sync technology",Yes,Yes,N/A,(13th Gen),13th Gen,NVIDIA RTX 4060,,NVIDIA,https://www.flipkart.com/asus-tuf-gaming-f15-2023-90whr-battery-intel-h-series-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-144-hz-140-tgp-fx507vv-lp071ws-laptop/p/itm221ec7c547b2a?pid=COMGPFPCYRKGNZ6F&lid=LSTCOMGPFPCYRKGNZ6FHTEQMU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=0150e801-72ba-4ebd-906b-108883704dde.COMGPFPCYRKGNZ6F.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,13900H,Yes,Windows 11 Home,Intel Core i9,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/w/x/-original-imagqkqmy8nfzebj.jpeg?q=70,ASUS TUF Gaming F15 (2023) with 90WHr Battery,No,1 Year Onsite Warranty,2.20 Kg,2.11 KG & Above,1,1,1,-139990,139990,90
High to Low,Low to High,FALSE,ASUS,"13.4 Inch WUXGA, Refresh Rate: 120Hz, Viewing Angle: 89/89/89, Panel Tech: IPS-Level, Contrast: 1000:1, Brightness: 500nits, NTSC%: 72%, SRGB%: 100%, Adobe%: 75%, Glossy Display, Adaptive-Sync Technology, Pantone Validated, Supports Dolby Vision HDR",Yes,Yes,4 GB,,,NVIDIA GeForce RTX 3050,4 GB,NVIDIA,https://www.flipkart.com/asus-rog-amd-ryzen-9-octa-core-6900hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-gv301rc-lj132ws-gaming-laptop/p/itm56741c68496a5?pid=COMGYSGNP7Q3YTD9&lid=LSTCOMGYSGNP7Q3YTD9NN48JH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=91b809b1-7a12-4941-b25a-f2d1666b55d0.COMGYSGNP7Q3YTD9.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,6900HS,No,Windows 11 Home,AMD Ryzen 9 Octa Core,AMD Ryzen 9 Octa Core,16 GB,13.4 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/p/h/-original-imagz6nys32myxfy.jpeg?q=70,ASUS ROG AMD Ryzen 9 Octa Core 6900HS Gaming Laptop,Yes,1 Year Onsite Warranty,1.30 kg,1.21 KG TO 1.50 KG,1,1,1,-96990,96990,91
High to Low,Low to High,FALSE,ASUS,"15.6 inch WQHD Anti-glare Display (16:9, 85/85/85/85 Viewing Angle, IPS-level Panel, 300nits Brightness, 1:1000, FreeSync)",No,Yes,6 GB,,,NVIDIA GeForce RTX 3060,6 GB,NVIDIA,https://www.flipkart.com/asus-rog-zephyrus-g15-amd-ryzen-9-octa-core-r9-5900hs-16-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-rtx-3060-165-hz-ga503qm-hq173ts-gaming-laptop/p/itm310ce58c9248b?pid=COMG5QHNVK9H2ZJ6&lid=LSTCOMG5QHNVK9H2ZJ6WKDW47&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=91b809b1-7a12-4941-b25a-f2d1666b55d0.COMG5QHNVK9H2ZJ6.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,R9-5900HS,Yes,Windows 10 Home,AMD Ryzen 9 Octa Core,AMD Ryzen 9 Octa Core,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/l3vxbbk0/computer/n/6/s/-original-imagewgtyyfzbykg.jpeg?q=70,ASUS ROG Zephyrus G15 Gaming Laptop,No,1 Year Onsite Warranty,1.90 kg,1.81 KG TO 2.10 KG,1,1,1,-107790,107790,92
High to Low,Low to High,FALSE,ASUS,"13.4 inch FHD+ LED Backlit LCD Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated)",No,Yes,4 GB,,,NVIDIA GeForce RTX 1650,4 GB,NVIDIA,https://www.flipkart.com/asus-rog-flow-x13-amd-ryzen-9-octa-core-5900hs-32-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-rtx-1650-120-hz-gv301qh-k6461ts-2-1-gaming-laptop/p/itm2fa81550aa27e?pid=COMG5QHNMQDZXTKH&lid=LSTCOMG5QHNMQDZXTKHPCMHYO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=91b809b1-7a12-4941-b25a-f2d1666b55d0.COMG5QHNMQDZXTKH.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,5900HS,No,Windows 10 Home,AMD Ryzen 9 Octa Core,AMD Ryzen 9 Octa Core,32 GB,13.4 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/koixwnk0/computer/b/i/z/na-gaming-laptop-asus-original-imag2ygghykjhv95.jpeg?q=70,ASUS ROG Flow X13 2 in 1 Gaming Laptop,Yes,1 Year Onsite Warranty,1.30 kg,1.21 KG TO 1.50 KG,1,1,1,-108990,108990,93
High to Low,Low to High,FALSE,DELL,38 cm Full HD WVA AG 165 Hz 300 nits Narrow Border,No,Yes,6 GB,,,NVIDIA GeForce RTX 3060,6 GB,NVIDIA,https://www.flipkart.com/dell-amd-ryzen-9-octa-core-6900hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-165-hz-new-gaming-g15-laptop/p/itm78577f0d3d5cf?pid=COMGJ75H8AP2MDAY&lid=LSTCOMGJ75H8AP2MDAYTD8ISY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=91b809b1-7a12-4941-b25a-f2d1666b55d0.COMGJ75H8AP2MDAY.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,6900HX,Yes,Windows 11 Home,AMD Ryzen 9 Octa Core,AMD Ryzen 9 Octa Core,16 GB,15 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/l45xea80/computer/7/5/r/g15-5525-gaming-laptop-dell-original-imagf4haxvzux68z.jpeg?q=70,DELL New Gaming G15 Ryzen Edition Gaming Laptop,No,1 Year Onsite Warranty,2.51 kg,2.11 KG & Above,1,1,1,-109471,109471,94
